iter	RMSE
0	1219.783191
1	1103.462333
2	998.5630791
3	907.1336267
4	821.1763555
5	745.9243419
6	677.0146662
7	614.7136228
8	558.5387683
9	508.3471281
10	463.4926853
11	423.120355
12	386.5569881
13	354.5399428
14	325.2584357
15	299.8751565
16	276.3030781
17	256.2502999
18	237.190724
19	221.113102
20	207.2661614
21	194.1692845
22	182.8147666
23	173.1011822
24	165.0392969
25	157.4841096
26	150.9137375
27	145.5456098
28	140.7595124
29	136.7447435
30	132.8443724
31	129.5881952
32	126.8225228
33	124.0568097
34	121.9364094
35	120.0723464
36	118.5741199
37	117.0878633
38	115.5976241
39	113.9314616
40	113.0432724
41	112.0114286
42	111.1416918
43	110.4995229
44	109.2986985
45	108.1397263
46	107.332004
47	106.8173691
48	106.0100247
49	105.1959031
50	104.6416078
51	104.1534153
52	103.7807912
53	103.4051514
54	102.5206349
55	101.8546557
56	101.4068237
57	101.2515775
58	100.5785802
59	99.94678539
60	99.4466105
61	99.03046431
62	98.68908444
63	98.17164564
64	97.74409809
65	97.26524369
66	96.94699528
67	96.496093
68	95.83064897
69	95.5456495
70	95.29622878
71	94.66982652
72	94.41733008
73	94.07450929
74	93.65149533
75	93.4881258
76	92.751055
77	92.31385284
78	91.90746412
79	91.47543651
80	90.94393316
81	90.63642082
82	90.39769169
83	90.13744422
84	89.61569299
85	89.28150819
86	89.08495607
87	88.80846424
88	88.44061411
89	88.19460401
90	87.95982523
91	87.72528869
92	87.41809342
93	87.13351168
94	86.9493258
95	86.84658124
96	86.32315149
97	85.82140822
98	85.26717635
99	84.82956094
