iter	Passed	Remaining
0	1	143
1	2	131
2	3	126
3	5	125
4	6	121
5	7	119
6	8	117
7	10	115
8	11	113
9	12	111
10	13	110
11	14	108
12	15	106
13	17	105
14	18	104
15	19	103
16	20	102
17	23	105
18	25	108
19	26	106
20	27	104
21	29	103
22	30	101
23	31	99
24	32	97
25	33	95
26	34	94
27	35	92
28	37	90
29	38	88
30	39	87
31	40	85
32	40	83
33	41	81
34	42	79
35	43	77
36	44	76
37	45	74
38	46	72
39	47	71
40	48	69
41	49	68
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	59	53
53	60	51
54	61	50
55	62	49
56	63	48
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	16
84	90	15
85	91	14
86	92	13
87	93	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
