Date,GAZP,YNDX,RUAL,IRAO,GMKN,LKOH,MGNT,MTSS,NVTK,PLZL,ROSN,SBER,SNGS,TATN,CHMF
2015-03-30,137.0,887.0,37.34,1.045,10530.0,2657.0,11185.0,246.3,432.0,1028.0,247.5,63.01,35.69,278.9,657.0
2015-03-31,138.9,893.0,36.79,1.0999,10399.0,2705.0,11350.0,247.0,432.0,1016.5,252.15,62.88,35.1,287.0,658.0
2015-04-01,143.0,902.0,35.825,1.12,10539.0,2755.0,11750.0,250.9,450.3,1028.0,261.35,64.5,35.99,300.1,644.5
2015-04-02,143.9,919.0,36.45,1.1034,10090.0,2780.5,11971.0,250.0,467.2,1011.0,262.55,65.92,37.0,301.5,643.0
2015-04-03,143.94,940.0,36.72,1.105,10237.0,2824.8,11799.0,248.6,476.4,1013.0,263.7,65.5,36.69,299.0,641.05
2015-04-04,,,,,,,,,,,,,,,
2015-04-05,,,,,,,,,,,,,,,
2015-04-06,145.7,934.0,36.8,1.1747,10200.0,2823.3,11900.0,253.9,478.0,1016.5,266.15,68.99,37.33,307.45,638.2
2015-04-07,146.2,942.0,36.66,1.1759,10125.0,2790.0,12020.0,255.0,474.4,1027.5,264.1,69.6,37.39,305.5,636.9
2015-04-08,147.27,946.0,37.49,1.1749,9986.0,2755.0,11890.0,253.0,470.6,1022.0,263.7,69.4,36.7,303.0,620.0
2015-04-09,148.1,939.0,36.55,1.145,9740.0,2707.8,11744.0,252.0,465.5,1025.0,258.55,72.0,36.835,297.95,612.6
2015-04-10,148.0,940.0,35.38,1.112,9936.0,2634.9,11711.0,248.0,463.6,1035.0,256.95,71.5,35.99,297.2,607.0
2015-04-11,,,,,,,,,,,,,,,
2015-04-12,,,,,,,,,,,,,,,
2015-04-13,148.8,941.0,34.79,1.0794,9839.0,2617.0,12300.0,253.1,477.2,1059.5,255.5,74.1,36.8,303.0,604.5
2015-04-14,144.4,910.0,34.49,1.083,9520.0,2559.0,11801.0,253.5,462.9,1045.0,249.5,74.05,36.95,301.0,590.0
2015-04-15,150.1,973.0,34.7,1.156,9632.0,2595.0,11870.0,263.0,480.7,1090.0,254.4,76.49,37.25,303.05,580.95
2015-04-16,152.4,1028.0,34.6,1.145,9480.0,2580.0,11600.0,263.7,493.0,1120.5,259.25,76.5,39.0,313.0,566.55
2015-04-17,149.3,1053.0,34.54,1.1488,9460.0,2576.0,11520.0,257.0,504.8,1143.0,256.0,72.5,37.5,292.2,563.0
2015-04-18,,,,,,,,,,,,,,,
2015-04-19,,,,,,,,,,,,,,,
2015-04-20,153.96,1054.0,32.845,1.1518,9590.0,2670.0,11664.0,252.9,507.0,1175.0,260.5,73.5,37.395,301.2,564.95
2015-04-21,155.35,1091.0,31.98,1.148,9700.0,2728.2,12207.0,255.15,523.3,1220.0,259.7,75.24,37.205,304.5,569.0
2015-04-22,150.8,1081.0,31.99,1.1601,9600.0,2639.5,12135.0,252.4,505.1,1316.0,252.4,73.9,36.46,295.85,572.6
2015-04-23,150.15,1076.0,31.0,1.1406,9530.0,2592.0,11900.0,253.25,499.6,1270.5,249.1,75.8,35.6,304.45,548.7
2015-04-24,153.89,1052.0,30.2,1.1477,9719.0,2645.0,11824.0,255.15,498.9,1324.5,258.2,75.75,36.8,297.0,550.0
2015-04-25,,,,,,,,,,,,,,,
2015-04-26,,,,,,,,,,,,,,,
2015-04-27,152.05,1070.0,30.325,1.1756,9665.0,2662.0,11577.0,257.8,496.4,1400.0,256.0,75.2,36.21,306.8,565.1
2015-04-28,152.79,986.0,31.77,1.1952,9673.0,2644.9,11350.0,261.0,495.4,1501.5,256.55,75.7,36.4,309.9,575.3
2015-04-29,152.5,997.0,31.13,1.185,9552.0,2610.0,11458.0,258.0,499.0,1515.0,255.0,75.2,36.505,296.75,570.6
2015-04-30,153.5,1001.0,31.41,1.2098,9640.0,2645.6,11280.0,265.0,494.0,1545.0,256.5,76.9,38.4,292.35,578.55
2015-05-01,,,,,,,,,,,,,,,
2015-05-02,,,,,,,,,,,,,,,
2015-05-03,,,,,,,,,,,,,,,
2015-05-04,,,,,,,,,,,,,,,
2015-05-05,156.33,985.0,31.21,1.238,10170.0,2655.0,11038.0,267.25,501.0,1587.5,261.5,80.21,38.39,303.75,576.5
2015-05-06,155.25,1006.0,31.3,1.223,10500.0,2660.0,11083.0,262.55,490.6,1610.0,259.9,79.2,37.35,309.9,571.8
2015-05-07,152.1,968.0,30.72,1.215,10201.0,2650.5,11090.0,260.0,490.0,1665.5,255.25,76.5,36.5,301.3,583.0
2015-05-08,155.52,979.0,31.59,1.231,10540.0,2691.6,11295.0,264.85,502.7,1691.0,259.45,75.5,36.45,303.25,589.8
2015-05-09,,,,,,,,,,,,,,,
2015-05-10,,,,,,,,,,,,,,,
2015-05-11,,,,,,,,,,,,,,,
2015-05-12,154.2,979.0,31.0,1.266,10680.0,2698.6,11220.0,266.3,502.7,1590.0,258.35,75.19,35.44,308.85,617.0
2015-05-13,151.74,944.0,30.8,1.24,10435.0,2620.0,11100.0,271.0,501.4,1605.5,252.45,75.24,35.125,303.2,595.7
2015-05-14,151.8,971.0,31.3,1.248,10245.0,2610.1,11240.0,268.7,500.9,1585.0,255.7,74.31,35.0,298.55,620.3
2015-05-15,152.98,950.0,31.03,1.231,10288.0,2595.0,11372.0,269.05,504.1,1600.0,257.45,75.05,35.94,296.7,621.7
2015-05-16,,,,,,,,,,,,,,,
2015-05-17,,,,,,,,,,,,,,,
2015-05-18,151.9,944.0,30.74,1.195,10248.0,2550.0,11042.0,267.65,502.0,1613.5,256.1,75.36,35.35,293.75,605.2
2015-05-19,149.85,939.0,30.4,1.1745,10039.0,2530.0,10986.0,260.0,495.5,1621.5,252.25,73.35,34.395,294.95,603.9
2015-05-20,146.35,926.0,29.7,1.1745,10180.0,2481.1,10940.0,252.65,494.7,1637.0,245.9,71.6,33.35,294.15,596.6
2015-05-21,147.16,935.0,29.4,1.172,10210.0,2523.0,11035.0,251.0,508.6,1612.0,245.65,73.25,35.0,297.85,615.1
2015-05-22,148.8,928.0,28.9,1.198,9534.0,2537.0,11020.0,252.5,512.4,1612.0,249.9,74.35,34.6,302.6,617.6
2015-05-23,,,,,,,,,,,,,,,
2015-05-24,,,,,,,,,,,,,,,
2015-05-25,146.69,928.0,29.0,1.2275,9515.0,2502.2,10910.0,254.0,506.8,1607.5,244.6,74.46,33.85,297.3,613.8
2015-05-26,145.25,923.0,29.05,1.241,9250.0,2508.0,10813.0,249.4,515.7,1606.5,245.15,74.67,33.5,292.0,617.2
2015-05-27,147.66,919.0,29.0,1.255,9380.0,2541.8,10653.0,244.5,524.4,1601.5,247.5,74.23,32.8,297.0,630.9
2015-05-28,146.11,950.0,29.38,1.271,9397.0,2563.8,10655.0,246.85,528.5,1591.5,245.8,73.6,32.61,300.8,629.2
2015-05-29,139.0,941.0,28.78,1.249,9005.0,2461.3,10510.0,243.0,522.5,1575.0,234.0,73.5,31.0,280.2,608.4
2015-05-30,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,
2015-06-01,139.4,950.0,28.75,1.2205,9303.0,2447.5,10456.0,241.4,525.1,1567.0,236.0,72.65,31.885,290.4,611.1
2015-06-02,140.75,997.0,29.0,1.24,9619.0,2515.0,10892.0,245.3,536.3,1515.0,237.5,73.92,31.9,294.25,615.0
2015-06-03,140.71,980.0,28.8,1.22,9704.0,2480.3,10765.0,241.05,539.4,1510.0,233.1,71.72,31.505,293.25,622.0
2015-06-04,140.2,993.0,29.2,1.1925,9742.0,2525.0,10750.0,239.5,538.2,1483.0,236.25,71.25,31.965,297.0,607.9
2015-06-05,142.4,976.0,29.26,1.152,9986.0,2570.0,10685.0,239.3,541.9,1475.5,236.75,70.61,31.9,300.9,618.1
2015-06-06,,,,,,,,,,,,,,,
2015-06-07,,,,,,,,,,,,,,,
2015-06-08,142.66,977.0,30.38,1.159,9954.0,2551.9,10654.0,241.5,541.2,1510.0,239.6,69.17,31.31,292.0,624.9
2015-06-09,146.17,965.0,30.3,1.11,9701.0,2606.0,11005.0,241.5,547.3,1540.0,245.0,70.21,31.6,294.95,626.9
2015-06-10,145.6,950.0,30.0,1.149,9595.0,2551.3,10895.0,239.0,543.9,1640.0,246.0,71.51,31.6,294.6,604.1
2015-06-11,145.4,950.0,29.86,1.1185,9655.0,2506.9,11130.0,238.25,543.5,1712.0,245.2,72.55,31.7,296.9,594.2
2015-06-12,,,,,,,,,,,,,,,
2015-06-13,,,,,,,,,,,,,,,
2015-06-14,,,,,,,,,,,,,,,
2015-06-15,144.95,946.0,29.55,1.13,9758.0,2481.7,11236.0,241.6,550.9,1798.5,243.4,71.8,32.48,298.25,599.0
2015-06-16,146.0,927.0,29.47,1.125,9695.0,2500.3,11556.0,242.8,546.9,1804.5,245.7,73.5,33.505,298.3,596.1
2015-06-17,147.6,930.0,29.21,1.1845,9680.0,2475.0,11520.0,240.1,545.0,1805.0,245.9,72.81,33.33,296.25,587.3
2015-06-18,147.15,906.0,29.31,1.1655,9579.0,2476.0,11440.0,243.5,540.0,1812.0,245.0,72.98,33.3,295.3,582.0
2015-06-19,147.15,910.0,29.99,1.18,9685.0,2474.4,11385.0,245.0,547.1,1806.0,250.0,71.56,33.885,290.4,585.4
2015-06-20,,,,,,,,,,,,,,,
2015-06-21,,,,,,,,,,,,,,,
2015-06-22,148.5,881.0,30.0,1.1725,9670.0,2487.0,11287.0,253.1,546.4,1804.5,251.6,72.0,34.72,295.2,596.9
2015-06-23,146.25,871.0,29.87,1.177,9503.0,2469.0,11266.0,250.5,544.5,1800.5,250.0,72.01,33.9,293.0,595.0
2015-06-24,146.68,871.0,29.85,1.19,9450.0,2445.0,11261.0,248.35,541.7,1804.0,246.05,71.98,34.225,295.25,577.1
2015-06-25,143.7,866.0,29.25,1.182,9400.0,2406.0,11220.0,246.05,531.1,1800.0,238.55,71.42,33.44,291.35,577.8
2015-06-26,145.18,855.0,29.22,1.21,9575.0,2401.7,11680.0,248.8,546.5,1795.0,229.9,70.6,33.5,296.55,585.0
2015-06-27,,,,,,,,,,,,,,,
2015-06-28,,,,,,,,,,,,,,,
2015-06-29,143.59,842.0,28.67,1.2085,9540.0,2408.0,11268.0,243.25,549.9,1801.5,229.65,70.2,33.315,294.95,594.3
2015-06-30,145.85,848.0,28.73,1.225,9500.0,2469.9,11399.0,243.1,557.7,1710.0,232.0,72.35,33.1,296.5,594.0
2015-07-01,145.5,853.0,28.55,1.2175,9215.0,2429.2,11465.0,243.9,560.6,1710.0,232.0,71.0,32.65,294.8,585.3
2015-07-02,145.8,853.0,27.18,1.195,9250.0,2455.0,11420.0,245.85,550.0,1730.0,231.2,70.54,32.77,297.85,592.5
2015-07-03,144.33,857.0,27.3,1.195,9263.0,2425.3,11331.0,243.95,551.0,1690.0,228.4,70.67,32.67,297.65,593.5
2015-07-04,,,,,,,,,,,,,,,
2015-07-05,,,,,,,,,,,,,,,
2015-07-06,143.0,860.0,26.49,1.19,9277.0,2460.0,11401.0,222.05,557.6,1710.0,222.8,68.45,32.75,298.5,605.7
2015-07-07,142.5,820.0,25.5,1.1875,9340.0,2465.0,11099.0,218.0,559.4,1706.0,220.5,68.77,32.035,296.95,602.4
2015-07-08,141.5,845.0,24.2,1.155,9100.0,2470.0,10902.0,215.7,561.2,1739.5,219.0,67.73,30.79,281.7,588.5
2015-07-09,143.77,855.0,24.44,1.175,9101.0,2484.6,11055.0,219.6,564.7,1786.0,223.6,69.35,31.225,290.9,579.3
2015-07-10,143.9,845.0,25.42,1.158,9147.0,2465.0,11399.0,220.25,565.5,1801.0,227.0,71.06,30.88,289.5,580.0
2015-07-11,,,,,,,,,,,,,,,
2015-07-12,,,,,,,,,,,,,,,
2015-07-13,145.27,857.0,25.98,1.148,9366.0,2435.6,11649.0,222.15,575.0,1783.0,231.5,72.94,32.3,295.05,586.8
2015-07-14,146.5,880.0,27.75,1.15,9450.0,2421.9,11669.0,219.75,577.7,1821.0,228.8,73.9,31.305,294.65,594.0
2015-07-15,142.7,875.0,29.2,1.205,9488.0,2460.0,11660.0,218.2,578.4,1824.0,230.5,74.0,31.94,299.0,595.0
2015-07-16,144.2,873.0,28.79,1.201,9600.0,2461.6,11769.0,221.7,577.7,1810.0,233.9,74.21,33.28,297.15,596.4
2015-07-17,143.6,900.0,28.5,1.1955,9536.0,2465.4,11750.0,219.9,574.7,1830.0,232.0,75.52,32.66,295.0,592.2
2015-07-18,,,,,,,,,,,,,,,
2015-07-19,,,,,,,,,,,,,,,
2015-07-20,141.78,891.0,28.44,1.19,9393.0,2428.2,11510.0,216.8,570.0,1807.0,227.2,74.1,32.04,290.9,594.0
2015-07-21,141.41,889.0,28.78,1.1855,9428.0,2442.0,11735.0,214.95,564.2,1810.5,227.05,75.55,32.65,296.35,598.8
2015-07-22,140.8,865.0,29.0,1.179,9320.0,2465.0,12177.0,211.8,569.5,1810.5,226.95,74.6,31.925,294.15,612.4
2015-07-23,138.37,879.0,28.75,1.1525,9119.0,2462.5,11885.0,215.5,566.7,1786.5,223.2,72.7,31.725,287.3,609.6
2015-07-24,136.41,867.0,29.3,1.157,9025.0,2468.9,11650.0,211.0,559.5,1777.0,220.6,70.45,31.05,278.05,623.9
2015-07-25,,,,,,,,,,,,,,,
2015-07-26,,,,,,,,,,,,,,,
2015-07-27,134.51,860.0,28.0,1.1115,9022.0,2398.9,11750.0,207.65,567.5,1803.5,220.5,68.48,31.5,278.8,632.0
2015-07-28,135.05,883.0,28.39,1.135,9231.0,2433.4,11671.0,211.8,577.0,1807.5,222.9,69.55,32.1,288.5,647.6
2015-07-29,138.7,903.0,28.47,1.13,9359.0,2430.9,11800.0,217.05,578.2,1805.0,229.0,71.2,32.55,284.2,650.3
2015-07-30,139.8,898.0,28.15,1.131,9365.0,2441.0,12040.0,219.0,575.0,1805.0,230.1,72.2,32.935,284.4,663.6
2015-07-31,142.5,882.0,28.5,1.1335,9427.0,2537.6,12200.0,224.9,591.0,1800.0,236.7,72.3,33.995,301.85,687.5
2015-08-01,,,,,,,,,,,,,,,
2015-08-02,,,,,,,,,,,,,,,
2015-08-03,141.45,866.0,28.88,1.132,9514.0,2509.1,12268.0,222.55,587.9,1800.0,233.05,71.1,34.22,303.9,692.0
2015-08-04,141.89,869.0,29.26,1.1135,9889.0,2507.4,12441.0,222.25,597.9,1815.0,233.05,72.3,34.035,306.6,695.0
2015-08-05,143.78,878.0,29.45,1.1305,10090.0,2529.0,12818.0,227.1,589.3,1835.0,236.15,73.49,34.135,315.0,687.5
2015-08-06,140.88,850.0,29.44,1.1315,10125.0,2491.6,12309.0,227.6,593.3,1875.0,233.65,72.25,34.05,303.6,681.0
2015-08-07,141.34,860.0,30.09,1.129,10112.0,2520.0,12396.0,229.65,598.0,2060.0,235.55,74.2,33.905,304.3,677.1
2015-08-08,,,,,,,,,,,,,,,
2015-08-09,,,,,,,,,,,,,,,
2015-08-10,141.5,858.0,30.19,1.1295,10222.0,2531.0,12412.0,231.0,597.4,2280.0,236.85,75.16,34.5,308.95,675.3
2015-08-11,141.97,851.0,29.95,1.13,10166.0,2519.7,12320.0,231.95,592.5,2200.0,235.5,73.2,34.585,307.5,682.0
2015-08-12,142.99,830.0,29.8,1.1295,9850.0,2539.5,12149.0,230.0,597.5,2430.0,240.0,73.4,34.56,308.1,687.9
2015-08-13,143.7,839.0,29.3,1.13,9870.0,2548.2,12177.0,229.5,593.8,2360.0,243.9,73.7,34.98,314.0,696.8
2015-08-14,144.8,831.0,30.75,1.1355,10061.0,2561.1,12147.0,226.7,590.7,2365.0,246.6,74.43,35.3,314.4,705.1
2015-08-15,,,,,,,,,,,,,,,
2015-08-16,,,,,,,,,,,,,,,
2015-08-17,144.25,835.0,32.85,1.13,10000.0,2554.9,12162.0,230.1,584.4,2260.0,245.15,73.0,35.5,316.5,706.7
2015-08-18,142.65,819.0,31.77,1.116,9810.0,2491.0,12090.0,229.3,584.0,2200.0,243.25,72.45,34.92,315.55,695.1
2015-08-19,140.8,799.0,31.0,1.108,9725.0,2468.5,12050.0,227.95,571.7,2305.0,241.05,71.5,33.98,306.6,706.7
2015-08-20,142.64,780.0,31.85,1.1045,10047.0,2487.1,12105.0,232.0,586.0,2250.0,240.7,72.05,34.295,309.0,723.1
2015-08-21,140.29,770.0,30.9,1.05,10060.0,2412.0,11860.0,228.7,564.0,2315.0,235.25,69.86,33.06,293.6,719.1
2015-08-22,,,,,,,,,,,,,,,
2015-08-23,,,,,,,,,,,,,,,
2015-08-24,135.35,738.0,30.0,1.0115,10215.0,2347.0,11603.0,223.75,567.2,2215.0,227.25,68.53,31.745,291.25,723.8
2015-08-25,140.4,764.0,30.9,1.0545,10071.0,2381.0,11829.0,224.7,560.3,2230.0,235.4,70.79,33.16,288.45,707.0
2015-08-26,140.51,742.0,30.8,1.068,10290.0,2355.0,11631.0,221.0,581.2,2230.0,240.0,71.0,33.1,292.05,700.1
2015-08-27,144.6,776.0,30.54,1.1175,10371.0,2424.0,11910.0,227.25,599.5,2280.0,245.5,73.8,34.15,306.0,691.5
2015-08-28,146.6,800.0,30.41,1.107,10430.0,2520.0,12171.0,228.9,613.9,2370.0,246.35,74.82,34.825,313.0,693.3
2015-08-29,,,,,,,,,,,,,,,
2015-08-30,,,,,,,,,,,,,,,
2015-08-31,148.19,805.0,30.39,1.138,10569.0,2531.0,12275.0,228.85,633.0,2370.0,245.1,74.5,34.295,323.0,725.2
2015-09-01,144.5,782.0,29.89,1.13,10329.0,2455.0,11924.0,227.55,610.0,2465.0,242.7,73.14,33.75,310.0,725.0
2015-09-02,142.57,780.0,29.8,1.12,10350.0,2440.0,11845.0,228.0,606.0,2500.0,249.0,72.9,33.6,305.05,723.1
2015-09-03,145.3,795.0,30.48,1.109,10600.0,2503.0,11935.0,230.65,602.2,2615.0,249.15,74.15,34.03,309.0,730.4
2015-09-04,142.8,790.0,30.03,1.102,10570.0,2458.0,11988.0,226.2,606.0,2650.0,244.35,73.96,34.1,304.9,727.0
2015-09-05,,,,,,,,,,,,,,,
2015-09-06,,,,,,,,,,,,,,,
2015-09-07,141.67,786.0,30.3,1.09,10716.0,2446.7,12074.0,224.7,611.1,2710.0,246.4,73.81,34.08,304.95,733.5
2015-09-08,143.21,786.0,30.2,1.0955,10746.0,2462.1,11996.0,227.1,619.0,2935.0,248.05,74.9,34.45,307.1,744.7
2015-09-09,144.22,787.0,30.2,1.1115,11099.0,2501.2,11763.0,227.0,621.0,2895.0,249.5,74.65,34.675,308.5,757.1
2015-09-10,142.99,773.0,31.38,1.095,10931.0,2489.0,11420.0,225.8,624.3,3025.0,247.2,74.3,35.1,311.0,754.5
2015-09-11,142.4,760.0,31.18,1.1135,10870.0,2487.6,11405.0,225.5,630.0,3025.0,245.9,74.1,35.24,308.2,755.1
2015-09-12,,,,,,,,,,,,,,,
2015-09-13,,,,,,,,,,,,,,,
2015-09-14,143.58,809.0,31.25,1.1055,10924.0,2524.5,11313.0,225.7,634.1,3030.0,246.0,74.88,35.47,315.4,758.6
2015-09-15,141.95,815.0,30.41,1.069,11009.0,2478.1,11325.0,222.5,628.1,2880.0,246.0,74.85,34.93,315.0,749.9
2015-09-16,142.91,862.0,30.3,1.0795,11119.0,2475.0,11583.0,227.3,628.6,2785.0,251.5,77.71,35.6,323.6,730.0
2015-09-17,142.8,860.0,30.61,1.0735,11206.0,2439.0,11650.0,225.65,632.0,2685.0,252.85,76.49,34.95,327.3,740.5
2015-09-18,139.5,841.0,30.1,1.051,11100.0,2403.8,11543.0,223.85,631.8,2745.0,256.0,75.5,34.2,322.0,717.0
2015-09-19,,,,,,,,,,,,,,,
2015-09-20,,,,,,,,,,,,,,,
2015-09-21,139.45,826.0,29.89,1.0695,11080.0,2331.1,11462.0,222.25,617.3,2670.0,249.1,75.94,34.145,315.0,732.9
2015-09-22,136.4,775.0,29.22,1.049,10693.0,2225.9,11360.0,221.95,604.0,2590.0,244.8,74.39,33.87,305.6,715.3
2015-09-23,134.3,752.0,27.78,1.0645,10200.0,2203.0,11377.0,216.7,612.5,2950.0,237.0,73.74,33.15,301.0,702.6
2015-09-24,132.2,714.0,27.1,1.0495,9662.0,2185.0,11387.0,213.15,598.0,2680.0,237.25,73.33,32.695,298.35,710.0
2015-09-25,133.85,714.0,27.4,1.062,9565.0,2240.0,11815.0,215.15,593.0,2755.0,238.4,74.97,33.675,307.0,693.1
2015-09-26,,,,,,,,,,,,,,,
2015-09-27,,,,,,,,,,,,,,,
2015-09-28,130.9,694.0,27.0,1.0645,9382.0,2241.9,11566.0,210.8,577.3,2890.0,236.65,74.57,32.975,300.05,681.2
2015-09-29,133.2,703.0,25.6,1.065,9325.0,2261.0,11705.0,211.35,586.2,2960.0,239.7,75.5,33.3,299.9,696.3
