Date,GAZP,YNDX,RUAL,IRAO,GMKN,LKOH,MGNT,MTSS,NVTK,PLZL,ROSN,SBER,SNGS,TATN,CHMF
2015-03-30 10:00:00,136.73,896.0,37.15,0.9379,10159.0,2622.9,11300.0,244.6,422.0,1050.5,241.5,61.54,35.45,273.3,661.9
2015-03-30 11:00:00,136.04,889.0,37.3,0.9399,10210.0,2625.0,11214.0,244.4,422.2,1049.5,243.55,62.04,35.45,276.65,661.8
2015-03-30 12:00:00,136.42,889.0,37.34,0.965,10229.0,2640.4,11179.0,244.2,422.5,1038.0,243.5,62.74,35.415,274.95,660.65
2015-03-30 13:00:00,136.11,892.0,37.34,0.96,10232.0,2639.8,11200.0,244.2,422.2,1031.0,243.4,62.24,35.27,274.8,658.75
2015-03-30 14:00:00,135.84,893.0,37.34,0.9677,10262.0,2625.2,11166.0,244.35,422.4,1031.5,243.75,62.1,35.33,274.8,654.4
2015-03-30 15:00:00,136.28,896.0,37.34,0.9772,10338.0,2625.5,11184.0,245.35,421.4,1021.0,244.2,62.41,35.28,276.75,652.25
2015-03-30 16:00:00,137.56,892.0,37.25,0.9899,10449.0,2650.0,11175.0,246.7,427.3,1032.0,245.6,62.61,35.88,280.0,659.2
2015-03-30 17:00:00,137.17,887.0,37.2,1.0076,10514.0,2657.6,11205.0,247.1,428.3,1023.0,245.9,62.53,35.75,279.75,656.15
2015-03-30 18:00:00,136.8,887.0,37.34,1.0415,10520.0,2656.2,11150.0,246.95,431.5,1022.0,246.9,63.01,35.69,279.1,656.95
2015-03-31 10:00:00,137.93,886.0,36.61,1.049,10711.0,2660.7,11372.0,247.25,429.1,1026.5,246.5,63.18,36.55,278.3,659.3
2015-03-31 11:00:00,137.37,882.0,36.61,1.0882,10591.0,2653.2,11239.0,246.8,423.8,1032.5,245.7,62.15,36.155,276.3,651.1
2015-03-31 14:00:00,138.46,879.0,36.6,1.0798,10411.0,2672.8,11275.0,248.05,428.8,1025.0,248.85,62.2,36.05,277.85,650.9
2015-03-31 15:00:00,138.78,884.0,36.5,1.0712,10428.0,2683.5,11281.0,247.9,430.2,1025.0,251.2,62.45,36.185,279.45,650.95
2015-03-31 16:00:00,138.46,882.0,36.5,1.0842,10325.0,2670.3,11253.0,247.85,428.7,1029.0,250.4,62.29,35.865,280.15,649.0
2015-03-31 17:00:00,138.54,894.0,36.7,1.09,10362.0,2694.0,11335.0,248.55,431.2,1030.0,251.5,62.39,35.615,282.45,648.0
2015-03-31 18:00:00,138.98,891.0,36.79,1.0978,10360.0,2699.8,11369.0,247.25,432.0,1025.5,251.3,62.53,35.12,281.0,645.25
2015-04-01 10:00:00,139.77,896.0,36.0,1.1149,10391.0,2694.9,11410.0,247.9,431.2,1025.0,253.1,63.07,35.5,289.0,657.35
2015-04-01 11:00:00,139.8,896.0,36.0,1.1177,10528.0,2702.5,11500.0,248.05,438.1,1025.0,254.5,63.8,35.745,289.8,657.7
2015-04-01 12:00:00,141.43,899.0,36.0,1.091,10663.0,2738.7,11669.0,249.2,446.2,1025.0,256.3,64.27,35.99,294.0,658.2
2015-04-01 13:00:00,141.87,901.0,36.1,1.1096,10603.0,2751.9,11764.0,252.05,449.3,1027.0,259.2,63.9,36.1,299.0,657.3
2015-04-01 15:00:00,141.93,897.0,36.0,1.134,10465.0,2744.1,11637.0,250.1,448.8,1025.0,260.2,64.1,35.965,298.2,643.35
2015-04-01 16:00:00,141.51,888.0,36.0,1.1172,10365.0,2721.6,11699.0,248.2,446.7,1025.0,257.55,63.71,35.685,295.65,642.5
2015-04-01 17:00:00,141.64,890.0,36.45,1.121,10382.0,2738.9,11690.0,248.0,447.7,1027.5,259.7,64.23,35.63,297.25,642.15
2015-04-01 18:00:00,143.19,901.0,35.825,1.121,10432.0,2741.3,11718.0,250.45,449.6,1028.0,261.35,64.59,36.0,300.4,643.75
2015-04-02 10:00:00,143.2,905.0,35.99,1.1372,10379.0,2747.4,11738.0,251.85,457.8,1020.0,262.0,64.66,36.38,298.25,639.05
2015-04-02 11:00:00,144.03,905.0,36.19,1.1329,10328.0,2735.2,11750.0,251.0,461.1,1012.0,263.2,64.9,36.355,297.75,637.0
2015-04-02 12:00:00,143.9,908.0,36.17,1.1289,10250.0,2741.0,11820.0,252.25,463.4,1010.0,263.25,64.8,36.78,298.8,639.05
2015-04-02 14:00:00,144.2,907.0,36.19,1.1255,10188.0,2741.2,11900.0,251.55,463.8,1007.0,261.6,64.75,37.05,299.45,638.45
2015-04-02 15:00:00,144.21,906.0,36.16,1.1275,10183.0,2746.0,11956.0,251.55,465.3,1012.0,263.2,64.79,36.95,298.05,639.15
2015-04-02 16:00:00,144.18,896.0,36.0,1.1225,10141.0,2754.9,11950.0,251.4,464.8,1012.0,262.2,64.82,37.25,298.8,639.7
2015-04-02 17:00:00,144.42,910.0,36.43,1.1129,10157.0,2784.3,11986.0,250.95,469.2,1012.0,262.45,65.92,37.055,300.55,643.3
2015-04-02 18:00:00,143.9,917.0,36.22,1.1034,10085.0,2783.6,11970.0,250.0,467.9,1012.0,262.5,65.9,36.97,301.5,642.7
2015-04-03 10:00:00,144.01,936.0,36.18,1.1103,10225.0,2796.8,11994.0,251.7,474.6,1009.0,262.8,65.8,37.28,303.65,643.4
2015-04-03 11:00:00,144.19,934.0,36.13,1.105,10232.0,2797.7,11995.0,251.8,471.7,1010.5,263.65,65.8,36.945,300.65,647.5
2015-04-03 12:00:00,144.43,937.0,36.4,1.1056,10200.0,2799.4,11933.0,251.45,472.7,1005.0,262.3,65.57,36.75,299.45,641.5
2015-04-03 13:00:00,144.19,938.0,36.39,1.1059,10194.0,2793.9,11887.0,251.4,473.2,1008.0,261.75,65.58,36.8,299.2,640.45
2015-04-03 14:00:00,144.9,942.0,36.38,1.117,10240.0,2805.0,11939.0,251.55,478.0,1009.5,263.0,66.2,36.9,300.8,641.9
2015-04-03 15:00:00,145.38,945.0,36.38,1.1196,10237.0,2828.9,11939.0,251.8,479.4,1007.5,264.2,66.21,36.85,301.95,643.65
2015-04-03 17:00:00,144.15,938.0,36.5,1.1098,10245.0,2807.6,11850.0,249.8,475.3,1010.0,262.65,65.29,36.62,297.4,642.0
